北中心测试环境有几套，都是什么环境？	八套环境
社保卡办理挂失手续，但卡上有账户贵金属协议，卡有不能办理挂失补卡，求如何处理？	6538子账户调整，把贵金属账户调出到客户名下其他借记卡中即可正常挂失销户，待新社保卡重新录入系统，可按客户要求是否再将贵金属账户调回新卡。
手机银行-我的-资产和负债基金份额显示问题	您好，投资理财和资产负债显示的是客户头一天的资产，这个问题可能和昨天基金理财批量跑的慢有关，请您明天再查看一下，如果仍有问题请您联系我。谢谢！
融e联~发现~财富集市报错未知异常	您好，开发已在排查，待查明原因后反馈您。
2184鍐茶垂401绗斿悎璁?绗斿啿锛?641鍐茬◣鏄剧ず鐨勭◣棰濅笌涔嬪墠鐨勬墸绋庰寸锛屾€庝箞鍔?	您好，请先确认下该收入账户11月10日是否有其他金额入账？
版本投产	请问具体是什么问题？
信用卡	请分行使用4563交易查询成品卡卡片当前状态；客户通过手机银行——信用卡——办卡进度查询卡片当前状态及位置。如果已制卡，请分行联系制卡中心了解一下未邮寄原因。
社保卡被终止服务	1.该卡是否已激活。<br />2.7688用卡内账号试一下，止收止付都要做。
新开个人网银初次登录报错	请问有截图信息吗
8985交易公务卡还款，下载数据时，提示连接服务器失败，这种情况该怎么处理？	贵行特色交易，建议联系分行科技协查，谢谢。
四套测试环境新开立网银问题	从报错看是版本安装不正确，请协助检查一下4套版本是不是有正确安装？谢谢
工银e支付	可以用柜面交易新模式50403最后一个分支，为客户解冻
公务卡1503换	请提供具体错误信息或截图，谢谢
1503公务卡换卡	请提供具体错误信息或截图，谢谢
4556交易	请分行提供完整的问题信息描述和截图，另外问题不要重复提交是，请将重复的问题删除，谢谢！
4556中显示	请分行提供完整的问题信息描述和截图，另外问题不要重复提交是，请将重复的问题删除，谢谢！
请问军人保障卡可以通过代理业务系统批量销户吗？里面有资金的话可以吗？谢谢	可以，军保卡销卡，但是需要之前开立军保卡时指定资金转入账户
第三套测试环境法客积存金上存问题	请按照截图画面上的提示信息设置信任站点和控件。
生产上关于纸质银行承兑汇票无法解挂的问题	人行关于银行承兑汇票止付的办法已作废，因此我行也停用该交易。如果该笔票据未做过贴现，建议承兑行在票交所系统中补充登记承兑信息，然后再做止付登记与解除。
各位好，请问pdf转word, 行内有什么便捷工具可以使用吗？谢谢	没见过行内有类似的工具。
客户11月7号办理挂失补办，至今未收到卡，状态为已开卡	1、山东制卡中心反馈集中制卡系统公务卡628288卡BIN参数一直就有设置，并提供了参数设置值。经与分行补换卡数据核对，确定问题原因:制卡中心与淄博分行4092参数电子现金字段设置不一致导致。<br
关于个人信用消费贷款网点归属问题请教	报表展现的是贷款对应的核算网点。<br />请分行先6872交易查询这六条白名单客户对应的归属网点号，然后1013交易查询这些归属网点对应的核算网点是否正确。
对公销户提示有超短期理财协议应如何查找	非机构业务，转结算与现金管理答复
关于领卡网点调整的问题请教	请分行调整网点通过前台业务报表下载《网点已打未发卡销户及调整清单》进行核对
对公销户提示存在超短期理财协议应如何处理	去法客营销系统取消下挂的超短期理财协议后再销户
王敬涛老师。 客户是柜面1503换卡 也需要审核么？	1503换卡，不经过审批系统，直接生成制卡文件日终批量下给卡辅（集中制卡系统）。
公文系统添加红头的时候报确定红头位置出错，找不到路径。	重点检查加密卡，wps和icbcword
选择录入介质方式和输入密码等情况超时的时候，之后会死机必须重启终端。	您好，选择介质录入方式时，如果柜员60秒不选择，默认划介质，30秒柜员不操作，系统会认为环境有问题，需要重启新终端恢复。这个是新终端自身的处理机制，因录入介质等操作是柜员可控的，因此还请关注不要长时间
信用卡客户电子现金暂收之后直接导致客户欠款，请问怎么把暂收得钱弄出来	可以做柜面4882电子现金转暂收退款交易。
集中平台业务6058记录中显示有一笔“待打印”	已成功
企业网银批量付款业务提示41454收方行号为空，指令处理失败，如何解决？	请帮忙确认下，付款地区是否开通了跨行落地？
融e联公众号管理平台闪退	麻烦请问是做了什么操作发生了闪退？再操作一次是否会重现？
统一号被IP为76.22.65.22的电脑输错密码一天冻结5次，能否查是哪里电脑	工银e安全的服务器，此bug已经修复。
融e联未读信息显示异常	那是免打扰的，不计数。现在主要是有时有未读有时无未读数量
双屏输入密码老是显示不对<br />	如密码键盘无法使用，一般为双屏固件问题。请在新终端使用ntdev，选择双屏，电子签名屏，密码键盘。分别设置主密钥和工作密钥。然后再尝试，谢谢
原955880灵通卡丢失，挂失后重置密码提示：挂失申请书编号有误或为空，怎么办？	输入挂失申请书编号
进入终端平台，打印的时候电脑就死机，请问怎么处理，谢谢	请补充做什么业务时打印死机。
定期存单销户提示账户不存在	可以报后台试试，之前客户有可能挂失补或销户过，我家以前遇见过。
系统升级后智能终端问题	请问下是南天的机器吗？
单位网银已销，销单位账户提示有高级功能，无法销户，请问什么原因？	使用7567交易查询，还有哪些未删除的协议，删除后才可销户
单位结算账户开户时法人联系电话录入与打印不一致	请提供1，确认2张截图，打印交易分别是？建议2，再次确认，比对的是否为相同字段
请问，十二月版是要投产联网核查异议反馈功能吗？能实现直接把异议数据上送人行吗？	会反馈人行但人行不会实时更新，关于异议反馈流程和投产时间，范围，还请最终以业务部室通知为准，谢谢
辽宁分行三套测试环境想要测试他行卡，总行能不能支持一下。需要哪些流程？	忘说了工银e支付。
特别关注系统升级后报错（IE11）,该怎么办？	此功能为系统常用功能，测试环境未出现过此报错。没有联系到您，还请帮忙提供具体操作，以便做进一步分析。谢谢！
关于e缴费配置缴费项目，配置成不可以多缴少缴后，缴费金额无法带入付款页面的问题	您好，请问这个问题是在三套测试环境么？
e缴费红包到期日是23号，使用时提示已过期	您好，此问题已经联系开发同事分析，具体原因后续答复，谢谢
智能终端挂失限额	昨日全行打开智能终端挂失换卡，销户开关，余额限定300以下。
